,豆瓣评分,豆瓣投票人数,IMDB评分,IMDB投票人数,类别,产地,年代
82,6.1,43,5.3,983,喜剧-动作,美国,2017
83,6.1,750,6.2,12924,喜剧-音乐,美国,2017
84,6.1,38,3.8,1976,喜剧-儿童,美国,2017
85,6.2,195,6.4,3252,剧情-悬疑,美国,2017
86,6.2,871,5.6,1270,科幻,美国,2017
87,6.2,169,6.2,2326,喜剧-恐怖-冒险,美国,2017
88,6.3,374,6.4,2681,剧情-音乐,美国,2017
89,6.3,1059,5.2,246,剧情-冒险,美国,2017
90,5.9,290,6.3,8780,剧情-爱情-冒险,美国,2017
91,5.8,5493,6.4,28480,剧情-爱情-科幻-冒险,美国,2017
92,5.4,234,6.5,13626,动作-惊悚,美国,2017
93,6.6,217,6.5,1505,剧情-传记,美国,2017
94,6.6,89,6.3,2400,剧情-战争-惊悚,美国,2017
95,6.7,104889,7.1,142770,动作-科幻-奇幻-冒险,美国,2017
96,6.7,98,5.1,193,悬疑-惊悚-恐怖,美国-日本,2017
97,6.7,163,7.3,10723,剧情-西部-冒险,美国,2017
98,6.8,2535,7.0,46684,剧情-悬疑-惊悚,美国,2017
99,6.9,257,7.4,6297,剧情-惊悚,美国,2017
100,6.9,115,6.5,3302,剧情-传记-战争,美国,2017
101,7.1,9033,7.0,20482,喜剧-动画-冒险,美国,2017
102,7.2,143393,8.0,160551,动作-奇幻-冒险,美国,2017
103,7.2,61867,7.2,78910,动作-奇幻-冒险,美国,2017
104,7.3,65681,7.5,323133,动作-科幻-冒险,美国,2017
105,7.4,19724,7.2,48670,动作-奇幻-冒险,美国,2017
106,7.5,49298,7.7,95861,剧情-奇幻-冒险,美国,2017
107,7.5,121997,8.1,187899,动作-奇幻-冒险,美国,2017
108,7.6,1495,6.5,16471,喜剧-动画,美国,2017
109,7.6,109,7.1,3367,剧情-传记,美国,2017
110,8.0,9089,7.8,17413,剧情-儿童,美国,2017
111,9.1,3741,8.7,74129,喜剧-动画-冒险-音乐-家庭,美国,2017
112,5.3,519,2.4,23794,喜剧-动画-冒险,美国,2017
