,IMDB,url,产地,年代,片名,类别,译名,豆瓣
1567,"8.7,10,74129",https://www.dy2018.com/i/98988.html,美国,2017,Coco,喜剧/动画/冒险/音乐/家庭,寻梦环游记/可可夜总会(台)/玩转极乐园(港)/亡灵总动员(豆友)/祖宗总动员(豆友)/墨西哥亡灵节/可可,"9.1,10,3741"
1568,"5.7,10,1995",https://www.dy2018.com/i/100092.html,美国,2017,Shock and Awe,传记/惊悚,威慑与恐吓/震慑/震撼真相(台),
1569,"2.4,10,23794",https://www.dy2018.com/i/98538.html,美国,2017,Emoji Movie: Express Yourself,喜剧/动画/冒险,表情奇幻冒险/Emoji大电影：展现自我/Emoji大冒险(港)/表情符号电影(台)/Emoji大电影,"5.3,10,519"
1570,"5.8,10,2405",https://www.dy2018.com/i/99134.html,美国,2017,The Star,喜剧/动画/冒险,圣诞星/羔羊,
1571,"6.2,10,1102",https://www.dy2018.com/i/98300.html,美国,2017,蝙蝠侠与哈莉·奎恩 Batman and Harley Quinn,动画/科幻,蝙蝠侠与哈莉·奎恩/蝙蝠侠与小丑女,
1572,,https://www.dy2018.com/i/98969.html,美国,2017,Kickboxer Retaliation,动作,搏击之王：反击,
1573,"4.3,10,546",https://www.dy2018.com/i/99742.html,,2017,大传说,,Big Legend,"3.6,10,96"
1574,"5.6,10,456",https://www.dy2018.com/i/98964.html,英国,2017,Rise of the Footsoldier 3,喜剧/动作/犯罪,从足球流氓到黑帮崛起3,
1575,,https://www.dy2018.com/i/98216.html,美国,2017,S.W.A.T.: Under Siege,动作,反恐特警组：潜龙突围,
1576,,https://www.dy2018.com/i/97936.html,,2017,The Marine 5: Battleground,动作,海军陆战队员5：杀戮战场,"4.5,10,58"
1577,"4.2,10,484",https://www.dy2018.com/i/98800.html,,2016,女子搏击俱乐部 Female Fight Club,,,
